Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
93wyqfq2c2,NF-1040,53.0,0.431,756,850,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,-0.126,732,838,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.006,735,850,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.079,716,850,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.136,690,844,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.19,722,841,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.241,725,832,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.294,707,809,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.347,722,797,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.402,723,788,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.455,722,786,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.508,723,782,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.563,697,764,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.616,677,750,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.672,652,745,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.724,654,731,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.777,659,735,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.832,664,732,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.885,667,733,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.941,673,744,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.993,679,739,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.046,686,750,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.101,693,755,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.155,704,753,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.208,714,770,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.264,720,760,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.326,702,769,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.389,702,789,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.449,713,806,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.546,687,799,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.617,670,783,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,1.689,671,778,Image,144,69.0,1296,879.0
